DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,DNA SOURCE,GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,PHENOTYPE (required for EGA),Developmental stage,Cell Type,Immunoprecipitate,Organism part,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples)
DN600639F,B12,5953STDY8613044,,,,,,,,,,,,,,,,,,,,,5953STDY8613044
DN600639F,C12,5953STDY8613045,,,,,,,,,,,,,,,,,,,,,5953STDY8613045
DN600639F,D12,5953STDY8613046,,,,,,,,,,,,,,,,,,,,,5953STDY8613046
DN600639F,E12,5953STDY8613047,,,,,,,,,,,,,,,,,,,,,5953STDY8613047
DN600639F,F12,5953STDY8613048,,,,,,,,,,,,,,,,,,,,,5953STDY8613048
DN600639F,G12,5953STDY8613049,,,,,,,,,,,,,,,,,,,,,5953STDY8613049
DN600639F,H12,5953STDY8613050,,,,,,,,,,,,,,,,,,,,,5953STDY8613050
DN600640V,A1,5953STDY8613051,,,,,,,,,,,,,,,,,,,,,5953STDY8613051
DN600640V,B1,5953STDY8613052,,,,,,,,,,,,,,,,,,,,,5953STDY8613052
DN600640V,C1,5953STDY8613053,,,,,,,,,,,,,,,,,,,,,5953STDY8613053
DN600640V,D1,5953STDY8613054,,,,,,,,,,,,,,,,,,,,,5953STDY8613054
DN600640V,E1,5953STDY8613055,,,,,,,,,,,,,,,,,,,,,5953STDY8613055
DN600640V,F1,5953STDY8613056,,,,,,,,,,,,,,,,,,,,,5953STDY8613056
DN600640V,G1,5953STDY8613057,,,,,,,,,,,,,,,,,,,,,5953STDY8613057
DN600640V,H1,5953STDY8613058,,,,,,,,,,,,,,,,,,,,,5953STDY8613058
DN600640V,A2,5953STDY8613059,,,,,,,,,,,,,,,,,,,,,5953STDY8613059
DN600640V,B2,5953STDY8613060,,,,,,,,,,,,,,,,,,,,,5953STDY8613060
DN600640V,C2,5953STDY8613061,,,,,,,,,,,,,,,,,,,,,5953STDY8613061
DN600640V,D2,5953STDY8613062,,,,,,,,,,,,,,,,,,,,,5953STDY8613062
DN600640V,E2,5953STDY8613063,,,,,,,,,,,,,,,,,,,,,5953STDY8613063
DN600640V,F2,5953STDY8613064,,,,,,,,,,,,,,,,,,,,,5953STDY8613064
DN600640V,G2,5953STDY8613065,,,,,,,,,,,,,,,,,,,,,5953STDY8613065
DN600640V,H2,5953STDY8613066,,,,,,,,,,,,,,,,,,,,,5953STDY8613066
DN600640V,A3,5953STDY8613067,,,,,,,,,,,,,,,,,,,,,5953STDY8613067
DN600640V,B3,5953STDY8613068,,,,,,,,,,,,,,,,,,,,,5953STDY8613068
DN600640V,C3,5953STDY8613069,,,,,,,,,,,,,,,,,,,,,5953STDY8613069
DN600640V,D3,5953STDY8613070,,,,,,,,,,,,,,,,,,,,,5953STDY8613070
DN600640V,E3,5953STDY8613071,,,,,,,,,,,,,,,,,,,,,5953STDY8613071
DN600640V,F3,5953STDY8613072,,,,,,,,,,,,,,,,,,,,,5953STDY8613072
DN600640V,G3,5953STDY8613073,,,,,,,,,,,,,,,,,,,,,5953STDY8613073
DN600640V,H3,5953STDY8613074,,,,,,,,,,,,,,,,,,,,,5953STDY8613074
DN600640V,A4,5953STDY8613075,,,,,,,,,,,,,,,,,,,,,5953STDY8613075
DN600640V,B4,5953STDY8613076,,,,,,,,,,,,,,,,,,,,,5953STDY8613076
DN600640V,C4,5953STDY8613077,,,,,,,,,,,,,,,,,,,,,5953STDY8613077
DN600640V,D4,5953STDY8613078,,,,,,,,,,,,,,,,,,,,,5953STDY8613078
DN600640V,E4,5953STDY8613079,,,,,,,,,,,,,,,,,,,,,5953STDY8613079
DN600640V,F4,5953STDY8613080,,,,,,,,,,,,,,,,,,,,,5953STDY8613080
DN600640V,G4,5953STDY8613081,,,,,,,,,,,,,,,,,,,,,5953STDY8613081
DN600640V,H4,5953STDY8613082,,,,,,,,,,,,,,,,,,,,,5953STDY8613082
DN600640V,A5,5953STDY8613083,,,,,,,,,,,,,,,,,,,,,5953STDY8613083
DN600640V,B5,5953STDY8613084,,,,,,,,,,,,,,,,,,,,,5953STDY8613084
DN600640V,C5,5953STDY8613085,,,,,,,,,,,,,,,,,,,,,5953STDY8613085
DN600640V,D5,5953STDY8613086,,,,,,,,,,,,,,,,,,,,,5953STDY8613086
DN600640V,E5,5953STDY8613087,,,,,,,,,,,,,,,,,,,,,5953STDY8613087
DN600640V,F5,5953STDY8613088,,,,,,,,,,,,,,,,,,,,,5953STDY8613088
DN600640V,G5,5953STDY8613089,,,,,,,,,,,,,,,,,,,,,5953STDY8613089
DN600640V,H5,5953STDY8613090,,,,,,,,,,,,,,,,,,,,,5953STDY8613090
DN600640V,A6,5953STDY8613091,,,,,,,,,,,,,,,,,,,,,5953STDY8613091
DN600640V,B6,5953STDY8613092,,,,,,,,,,,,,,,,,,,,,5953STDY8613092
DN600640V,C6,5953STDY8613093,,,,,,,,,,,,,,,,,,,,,5953STDY8613093
DN600640V,D6,5953STDY8613094,,,,,,,,,,,,,,,,,,,,,5953STDY8613094
DN600640V,E6,5953STDY8613095,,,,,,,,,,,,,,,,,,,,,5953STDY8613095
DN600640V,F6,5953STDY8613096,,,,,,,,,,,,,,,,,,,,,5953STDY8613096
DN600640V,G6,5953STDY8613097,,,,,,,,,,,,,,,,,,,,,5953STDY8613097
DN600640V,H6,5953STDY8613098,,,,,,,,,,,,,,,,,,,,,5953STDY8613098
DN600640V,A7,5953STDY8613099,,,,,,,,,,,,,,,,,,,,,5953STDY8613099
DN600640V,B7,5953STDY8613100,,,,,,,,,,,,,,,,,,,,,5953STDY8613100
DN600640V,C7,5953STDY8613101,,,,,,,,,,,,,,,,,,,,,5953STDY8613101
DN600640V,D7,5953STDY8613102,,,,,,,,,,,,,,,,,,,,,5953STDY8613102
DN600640V,E7,5953STDY8613103,,,,,,,,,,,,,,,,,,,,,5953STDY8613103
