DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,COUNTRY OF ORIGIN,GEOGRAPHICAL REGION,ETHNICITY,DNA SOURCE,DATE OF SAMPLE COLLECTION (MM/YY or YYYY only),DATE OF DNA EXTRACTION (MM/YY or YYYY only),DNA EXTRACTION METHOD,SAMPLE PURIFIED?,PURIFICATION METHOD,CONCENTRATION DETERMINED BY,DNA STORAGE CONDITIONS,MOTHER (optional),FATHER (optional),SIBLING (optional),GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples),PHENOTYPE (required for EGA)
DN591850D,E10,5953STDY8280359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280359,
DN591850D,F10,5953STDY8280360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280360,
DN591850D,G10,5953STDY8280361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280361,
DN591850D,H10,5953STDY8280362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280362,
DN591850D,I10,5953STDY8280363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280363,
DN591850D,J10,5953STDY8280364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280364,
DN591850D,K10,5953STDY8280365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280365,
DN591850D,L10,5953STDY8280366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280366,
DN591850D,M10,5953STDY8280367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280367,
DN591850D,N10,5953STDY8280368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280368,
DN591850D,O10,5953STDY8280369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280369,
DN591850D,P10,5953STDY8280370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280370,
DN591850D,A11,5953STDY8280371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280371,
DN591850D,B11,5953STDY8280372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280372,
DN591850D,C11,5953STDY8280373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280373,
DN591850D,D11,5953STDY8280374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280374,
DN591850D,E11,5953STDY8280375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280375,
DN591850D,F11,5953STDY8280376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280376,
DN591850D,G11,5953STDY8280377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280377,
DN591850D,H11,5953STDY8280378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280378,
DN591850D,I11,5953STDY8280379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280379,
DN591850D,J11,5953STDY8280380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280380,
DN591850D,K11,5953STDY8280381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280381,
DN591850D,L11,5953STDY8280382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280382,
DN591850D,M11,5953STDY8280383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280383,
DN591850D,N11,5953STDY8280384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280384,
DN591850D,O11,5953STDY8280385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280385,
DN591850D,P11,5953STDY8280386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280386,
DN591850D,A12,5953STDY8280387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280387,
DN591850D,B12,5953STDY8280388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280388,
DN591850D,C12,5953STDY8280389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280389,
DN591850D,D12,5953STDY8280390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280390,
DN591850D,E12,5953STDY8280391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280391,
DN591850D,F12,5953STDY8280392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280392,
DN591850D,G12,5953STDY8280393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280393,
DN591850D,H12,5953STDY8280394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280394,
DN591850D,I12,5953STDY8280395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280395,
DN591850D,J12,5953STDY8280396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280396,
DN591850D,K12,5953STDY8280397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280397,
DN591850D,L12,5953STDY8280398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280398,
DN591850D,M12,5953STDY8280399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280399,
DN591850D,N12,5953STDY8280400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280400,
DN591850D,O12,5953STDY8280401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280401,
DN591850D,P12,5953STDY8280402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280402,
DN591850D,A13,5953STDY8280403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280403,
DN591850D,B13,5953STDY8280404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280404,
DN591850D,C13,5953STDY8280405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280405,
DN591850D,D13,5953STDY8280406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280406,
DN591850D,E13,5953STDY8280407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280407,
DN591850D,F13,5953STDY8280408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280408,
DN591850D,G13,5953STDY8280409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280409,
